,gold,hypothesis,recall,precision,F1
2,run it,runit,0.0,0.0,0.0
5,original man,originalman,0.0,0.0,0.0
34,us airways,usairways,0.0,0.0,0.0
35,Hood rat,Hoodrat,0.0,0.0,0.0
44,7 th September,7th September,0.3333333333333333,0.5,0.4
52,Am Writing,AmWriting,0.0,0.0,0.0
54,NSA plz,NSAplz,0.0,0.0,0.0
55,emblem3,emblem 3,0.0,0.0,0.0
60,When Snoop Hosts BET Hip Hop Awards,When Snoop Hosts BET HipHop Awards,0.7142857142857143,0.8333333333333334,0.7692307692307694
74,DUCKFACE,DUCK FACE,0.0,0.0,0.0
79,Think Out Of Tge Box,ThinkOutOfTgeBox,0.0,0.0,0.0
81,The Fresh Prince Of Bel Air,The Fresh PrinceOfBel Air,0.5,0.75,0.6000000000000001
85,pandora onpoint tho,pandora on point tho,0.6666666666666666,0.5,0.5714285714285714
100,bank hoilday,bankhoilday,0.0,0.0,0.0
107,i could have watched this for years,i couldhave watched this for years,0.7142857142857143,0.8333333333333334,0.7692307692307694
119,tues night twitter blackout,tuesnight twitter blackout,0.5,0.6666666666666666,0.5714285714285714
120,ankle break,anklebreak,0.0,0.0,0.0
129,once Upon A time,onceUponAtime,0.0,0.0,0.0
132,The Best In The World CR7,The Best InTheWorld CR7,0.5,0.75,0.6000000000000001
135,stay home voters,stayhomevoters,0.0,0.0,0.0
146,artpop lady gaga,artpopladygaga,0.0,0.0,0.0
151,Guys who are sexy and best be know in it,Guyswhoaresexyandbest be knowin it,0.2,0.5,0.2857142857142857
152,Sandon Follow Party,Sand on Follow Party,0.6666666666666666,0.5,0.5714285714285714
155,edcamp detroit,edcampdetroit,0.0,0.0,0.0
162,baby gate,babygate,0.0,0.0,0.0
170,We Dont Want Ben Affleck As Batman,We Dont Want Ben AffleckAs Batman,0.7142857142857143,0.8333333333333334,0.7692307692307694
177,halle berry,halleberry,0.0,0.0,0.0
178,ben gomori,bengomori,0.0,0.0,0.0
184,black facts,blackfacts,0.0,0.0,0.0
189,andalucia,anda lucia,0.0,0.0,0.0
209,apartment in new york,apartmentinnewyork,0.0,0.0,0.0
211,goa trance,goatrance,0.0,0.0,0.0
213,X factor Around The World,Xfactor Around The World,0.6,0.75,0.6666666666666666
232,i Ate The Bones,iAteTheBones,0.0,0.0,0.0
237,leighton meester,leightonmeester,0.0,0.0,0.0
239,so done,sodone,0.0,0.0,0.0
243,my name is judge,mynameisjudge,0.0,0.0,0.0
248,radio das antigas,radio da santigas,0.3333333333333333,0.3333333333333333,0.3333333333333333
250,Top 5 Albums Of The Year So Far,Top 5 AlbumsOfThe Year So Far,0.625,0.8333333333333334,0.7142857142857143
253,BYP 100,BY P100,0.0,0.0,0.0
263,Sentences You Dont Want To Hear Your Mother Say,SentencesYouDontWantToHearYourMotherSay,0.0,0.0,0.0
267,you jelly,youjelly,0.0,0.0,0.0
271,hamster face,hamsterface,0.0,0.0,0.0
288,green card,greencard,0.0,0.0,0.0
294,bitter sweet,bittersweet,0.0,0.0,0.0
301,multifucked,multi fucked,0.0,0.0,0.0
303,im 12,im12,0.0,0.0,0.0
309,WE BEAST,WEB EAST,0.0,0.0,0.0
312,make out,makeout,0.0,0.0,0.0
319,ok steak cook off,ok steak cookoff,0.5,0.6666666666666666,0.5714285714285714
324,efff yeah,efffyeah,0.0,0.0,0.0
335,4th Reich rising,4th Reichrising,0.3333333333333333,0.5,0.4
336,Kiss kiss,Kisskiss,0.0,0.0,0.0
338,harry 1d,harry1d,0.0,0.0,0.0
350,Buffy wisdom,Buffywisdom,0.0,0.0,0.0
360,ryan reynolds,ryanreynolds,0.0,0.0,0.0
363,ben leck,benleck,0.0,0.0,0.0
371,cplt 2013,cplt2013,0.0,0.0,0.0
380,instageek,insta geek,0.0,0.0,0.0
384,iphonography,i phonography,0.0,0.0,0.0
387,black power,blackpower,0.0,0.0,0.0
394,3 rd times a charm,3rd times a charm,0.6,0.75,0.6666666666666666
398,put you upon game,put you up on game,0.75,0.6,0.6666666666666666
402,little girle,littlegirle,0.0,0.0,0.0
406,accuratere presentation of me,accurate representation of me,0.5,0.5,0.5
408,hee hee,heehee,0.0,0.0,0.0
409,onto the next,on to the next,0.6666666666666666,0.5,0.5714285714285714
410,story thursday,storythursday,0.0,0.0,0.0
416,i ll love you forever,ill love you forever,0.6,0.75,0.6666666666666666
418,ricky the rock star,rickytherockstar,0.0,0.0,0.0
420,heartbreaking lines,heartbreakinglines,0.0,0.0,0.0
421,i tweet feeds,itweetfeeds,0.0,0.0,0.0
429,go away boobs,goawayboobs,0.0,0.0,0.0
435,oh take me back to the start,ohtake me back to the start,0.7142857142857143,0.8333333333333334,0.7692307692307694
442,juicy j,juicyj,0.0,0.0,0.0
443,dont ruin this for me i swear to god,dont ruinthisfor me i swear togod,0.4444444444444444,0.6666666666666666,0.5333333333333333
444,hangover the movie,hangoverthemovie,0.0,0.0,0.0
474,Cool pix,Coolpix,0.0,0.0,0.0
483,life made,lifemade,0.0,0.0,0.0
486,caf nation,cafnation,0.0,0.0,0.0
487,sexy back,sexyback,0.0,0.0,0.0
496,christian bale,christianbale,0.0,0.0,0.0
